Arquivo,Área,Perímetro,Eixo Maior,Eixo Menor,Excentricidade,Solidez,Circularidade,Compacidade,Alongamento,Redondeza,Num Cantos
1001.jpg,198864.0,3488.4502858745536,1563.7133681534945,164.00737357798974,0.9944845395385593,0.9807609794589796,0.20535295576733145,61.19400895596114,9.534408935644032,0.10355045020172625,1
1002.jpg,102116.0,2504.2102448427663,1138.9879934305895,115.05820765082186,0.9948846054328254,0.9734140412754397,0.2046265974446144,61.411227920947425,9.899232889905475,0.10022258987581921,1
1003.jpg,87415.0,2301.4406922210655,1049.5946119717723,106.77551520835091,0.9948120212405435,0.9747870110174406,0.2073940299331823,60.59176639948496,9.829918496985941,0.10103059142261388,1
1004.jpg,191411.0,2866.893577750951,1260.3000892907758,197.11264498655805,0.9876935837249454,0.9767761096539125,0.2926534260406965,42.939427651230325,6.393806391146144,0.1534366389868407,1
1005.jpg,229376.0,2929.2489168102784,1213.0089397425108,256.022020005484,0.9774723328589956,0.9570732358635423,0.33592728736008404,37.40800788501931,4.737908636595118,0.19848609632764244,1
1006.jpg,235194.0,3701.1235175149723,1648.3096563675963,182.74950546551142,0.9938348217376084,0.9859978032481742,0.21575901176845602,58.24262222634251,9.01950269123254,0.11021957985037945,1
1007.jpg,259560.0,3575.962045907485,1561.8589485720142,213.78260663285693,0.990588047564476,0.9815199264881054,0.25507143656900844,49.26608319375422,7.305827977176358,0.13547659218094368,1
1008.jpg,245901.0,3752.5133444597054,1655.5706189308783,191.32667475771916,0.9932998737375777,0.9669872904017366,0.2194449890044067,57.264331582011316,8.653109249023226,0.11422863643532177,1
1009.jpg,225425.0,3160.7667734976194,1317.9383710006384,226.87036226725692,0.985072435186947,0.9478169831312333,0.28354829470281046,44.31827258044383,5.809213498976503,0.16524258951631576,1
1010.jpg,289932.0,3095.5129855222067,1277.0588395351176,294.10321321012935,0.9731203162081327,0.9796390028314829,0.38022507568967767,33.04982079776156,4.342213148901203,0.22635206191768112,1
1011.jpg,327403.0,3453.0533162548836,1401.149870387993,306.01221874066243,0.9758591604933472,0.9723792184803818,0.34505311347023215,36.41865592220856,4.578738313633913,0.21233598016193156,1
1012.jpg,282362.0,3664.42398668461,1624.3853474182195,228.93365387393817,0.9900187719162529,0.9441429512450388,0.26424372251540823,47.55598541655581,7.095441495520286,0.13625054287760985,1
1013.jpg,328092.0,3348.5394641809,1376.8507928837819,312.705212389001,0.973867650778699,0.9795486979835315,0.3677008735332016,34.17552559397031,4.4030311562923306,0.22035961328791778,1
1014.jpg,249740.0,3411.7883809911777,1480.2262539294336,219.6336657921164,0.9889306537185171,0.9579042249199318,0.26960863628198345,46.60967388750862,6.739523508797918,0.14512492906324545,1
1015.jpg,297057.0,3639.1691526886716,1574.9376522747177,248.52542659478738,0.9874710663526928,0.9502661514248059,0.28186760781665277,44.582528342643954,6.337128855803565,0.15248361437868516,1
1016.jpg,236676.0,3687.443322668367,1661.4338990710216,182.5812549175017,0.99394333674035,0.978456882759305,0.21873253046793809,57.45085373207053,9.09969591249513,0.10916871659632645,1
